rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
3496	DBNDD1	dysbindin (dystrobrevin binding protein 1) domain containing 1	240324	2	2	2	0	1	0	1	0	0	0	0.577	0.483	0.124	0.0969	0.172	0.329	1.000
3497	DNM1	dynamin 1	1175545	11	9	11	4	3	2	4	1	1	0	0.999	0.637	0.0684	0.191	0.0995	0.329	1.000
3498	PTTG1	pituitary tumor-transforming 1	342753	2	2	2	0	0	0	2	0	0	0	0.703	0.687	0.346	0.0853	0.141	0.329	1.000
3499	ZNF704	zinc finger protein 704	673693	9	8	9	1	3	2	1	0	3	0	0.147	0.381	0.496	0.731	0.676	0.329	1.000
3500	MRO	maestro	419786	4	4	4	1	1	1	0	1	1	0	0.289	0.538	0.484	0.156	0.344	0.329	1.000
3501	NKAIN2	Na+/K+ transporting ATPase interacting 2	356832	7	7	7	2	0	0	4	1	2	0	0.0996	0.704	0.976	0.639	1.000	0.329	1.000
3502	CATSPER4	cation channel, sperm associated 4	757896	3	3	3	3	1	2	0	0	0	0	1.000	0.894	0.152	0.0874	0.0996	0.329	1.000
3503	ZNF366	zinc finger protein 366	1224665	18	16	18	4	6	8	2	0	2	0	0.708	0.181	0.0765	0.897	0.141	0.329	1.000
3504	KRT84	keratin 84	839932	5	5	5	7	0	3	1	0	1	0	0.996	0.998	0.572	0.0288	0.100	0.330	1.000
3505	NOL4	nucleolar protein 4	1066618	23	22	20	5	6	8	6	1	2	0	0.282	0.416	0.229	0.413	0.353	0.330	1.000
3506	DDX42	DEAD (Asp-Glu-Ala-Asp) box polypeptide 42	1571134	8	8	8	2	1	3	2	1	1	0	0.987	0.645	0.615	0.0268	0.101	0.330	1.000
3507	CP	ceruloplasmin (ferroxidase)	1770165	11	9	11	1	0	7	2	0	2	0	0.931	0.277	0.0647	0.376	0.107	0.330	1.000
3508	KRBA1	KRAB-A domain containing 1	941597	15	14	15	3	2	9	1	1	2	0	0.416	0.224	0.492	0.0960	0.240	0.330	1.000
3509	FAM101A	family with sequence similarity 101, member A	202699	3	3	3	0	0	1	1	1	0	0	0.184	0.463	0.630	0.230	0.543	0.330	1.000
3510	C14orf178	chromosome 14 open reading frame 178	129434	2	2	2	0	0	0	1	0	1	0	0.112	0.624	0.517	0.749	0.891	0.330	1.000
3511	AZU1	azurocidin 1 (cationic antimicrobial protein 37)	339378	2	2	2	2	1	0	1	0	0	0	1.000	0.925	0.610	0.0497	0.0999	0.330	1.000
3512	ERBB2IP	erbb2 interacting protein	2262682	11	11	11	1	0	4	6	0	1	0	0.945	0.483	0.246	0.0756	0.106	0.330	1.000
3513	MEAF6	MYST/Esa1-associated factor 6	315061	3	3	3	1	0	1	0	1	1	0	0.420	0.862	0.0951	0.900	0.238	0.330	1.000
3514	ELF1	E74-like factor 1 (ets domain transcription factor)	1029004	12	12	11	1	1	5	5	1	0	0	0.130	0.212	0.490	0.595	0.768	0.330	1.000
3515	CLIP2	CAP-GLY domain containing linker protein 2	1418789	15	15	15	5	4	4	4	1	2	0	0.999	0.422	0.167	0.0462	0.100	0.331	1.000
3516	ST7	suppression of tumorigenicity 7	1030515	6	5	5	0	0	3	1	1	1	0	0.848	0.238	0.0810	0.744	0.118	0.331	1.000
3517	KCNJ6	potassium inwardly-rectifying channel, subfamily J, member 6	698393	7	7	7	1	2	3	2	0	0	0	0.358	0.332	0.202	0.369	0.280	0.331	1.000
3518	CHST10	carbohydrate sulfotransferase 10	594586	3	3	3	1	1	1	0	0	1	0	0.814	0.627	0.101	0.0246	0.123	0.331	1.000
3519	HRG	histidine-rich glycoprotein	845852	12	11	12	4	2	10	0	0	0	0	0.927	0.695	0.0534	0.697	0.108	0.331	1.000
3520	SLC38A10	solute carrier family 38, member 10	1747164	6	5	6	4	0	5	0	0	1	0	1.000	0.811	0.478	0.0182	0.100	0.331	1.000
3521	DYNC2LI1	dynein, cytoplasmic 2, light intermediate chain 1	655819	11	9	11	2	0	3	5	0	3	0	0.194	0.630	0.387	0.298	0.516	0.331	1.000
3522	BBOX1	butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1	628423	11	10	11	3	0	8	3	0	0	0	0.470	0.686	0.123	0.936	0.214	0.331	1.000
3523	OR51T1	olfactory receptor, family 51, subfamily T, member 1	571858	17	17	17	5	3	8	1	1	4	0	0.529	0.452	0.678	0.0472	0.190	0.331	1.000
3524	RFX4	regulatory factor X, 4 (influences HLA class II expression)	1298446	16	16	16	5	1	9	5	0	1	0	0.993	0.591	0.663	0.0184	0.101	0.331	1.000
3525	FAM57B	family with sequence similarity 57, member B	327260	3	3	3	2	1	1	0	0	1	0	0.867	0.835	0.0504	0.647	0.116	0.331	1.000
3526	NFATC4	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4	1452547	11	11	11	4	2	5	1	1	2	0	0.996	0.620	0.0520	0.283	0.101	0.331	1.000
3527	FKBP6	FK506 binding protein 6, 36kDa	518948	10	9	10	4	0	5	2	0	3	0	0.648	0.686	0.758	0.0264	0.155	0.332	1.000
3528	USF2	upstream transcription factor 2, c-fos interacting	345017	5	5	5	1	2	0	1	1	1	0	0.121	0.464	0.511	0.639	0.834	0.332	1.000
3529	ZFYVE26	zinc finger, FYVE domain containing 26	4196545	31	29	31	5	1	17	8	2	3	0	0.999	0.108	0.317	0.0403	0.101	0.332	1.000
3530	HIST1H4K	histone cluster 1, H4k	160058	2	2	2	1	1	0	0	0	1	0	0.332	0.793	NaN	NaN	NaN	0.332	1.000
3531	ECM2	extracellular matrix protein 2, female organ and adipocyte specific	1156770	6	5	6	3	0	3	2	0	1	0	0.999	0.941	0.0778	0.395	0.101	0.332	1.000
3532	CDC25A	cell division cycle 25 homolog A (S. pombe)	766708	4	4	4	1	0	1	2	1	0	0	0.816	0.778	0.0871	0.417	0.123	0.332	1.000
3533	TCF21	transcription factor 21	296284	5	5	5	0	2	3	0	0	0	0	0.216	0.107	0.254	0.953	0.467	0.332	1.000
3534	ZC3H11A	zinc finger CCCH-type containing 11A	1353437	7	7	7	3	1	3	1	1	1	0	1.000	0.845	0.163	0.0809	0.101	0.332	1.000
3535	CELSR1	cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)	3769925	17	15	17	7	5	6	3	1	2	0	1.000	0.565	0.0492	0.329	0.101	0.333	1.000
3536	SERPINA6	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 6	671621	17	16	16	5	2	7	2	2	4	0	0.485	0.581	0.153	0.303	0.208	0.333	1.000
3537	CENPH	centromere protein H	348328	4	4	4	0	0	1	2	0	1	0	0.149	0.574	0.339	0.464	0.681	0.333	1.000
3538	ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide	501618	6	6	6	0	1	3	0	0	2	0	0.167	0.188	0.551	0.268	0.605	0.333	1.000
3539	TRIM65	tripartite motif-containing 65	395443	3	3	3	0	2	1	0	0	0	0	0.633	0.308	0.0409	0.505	0.160	0.333	1.000
3540	TNFRSF21	tumor necrosis factor receptor superfamily, member 21	973000	3	3	3	0	0	2	1	0	0	0	0.980	0.404	0.0580	0.762	0.103	0.333	1.000
3541	C15orf53	chromosome 15 open reading frame 53	277722	4	3	4	0	1	2	1	0	0	0	0.267	0.363	0.628	0.130	0.379	0.333	1.000
3542	BTBD3	BTB (POZ) domain containing 3	862507	10	10	10	1	0	7	1	0	2	0	0.149	0.271	0.548	0.504	0.682	0.334	1.000
3543	KAT2B	K(lysine) acetyltransferase 2B	1259647	10	9	10	1	0	5	1	1	3	0	0.639	0.214	0.0975	0.838	0.159	0.334	1.000
3544	OR5L2	olfactory receptor, family 5, subfamily L, member 2	511855	33	33	33	12	1	16	8	5	3	0	0.450	0.437	0.115	0.776	0.225	0.334	1.000
3545	OR6C65	olfactory receptor, family 6, subfamily C, member 65	502870	4	4	4	1	0	1	1	0	2	0	0.352	0.873	0.345	0.229	0.288	0.334	1.000
3546	DNAJC3	DnaJ (Hsp40) homolog, subfamily C, member 3	848483	5	5	5	1	0	3	1	1	0	0	0.739	0.713	0.105	0.464	0.137	0.334	1.000
3547	TST	thiosulfate sulfurtransferase (rhodanese)	346571	3	3	3	0	0	2	0	0	1	0	0.582	0.292	0.248	0.0615	0.175	0.334	1.000
3548	DRGX	dorsal root ganglia homeobox	360344	6	6	6	3	1	5	0	0	0	0	0.837	0.774	0.0650	0.967	0.121	0.334	1.000
3549	CAPZA2	capping protein (actin filament) muscle Z-line, alpha 2	461043	3	2	3	0	0	0	2	0	1	0	0.769	0.614	0.103	0.169	0.132	0.334	1.000
3550	CHCHD3	coiled-coil-helix-coiled-coil-helix domain containing 3	344209	5	5	5	0	2	3	0	0	0	0	0.131	0.213	0.535	0.661	0.778	0.334	1.000
3551	SLC6A15	solute carrier family 6, member 15	1278834	27	24	27	5	1	10	9	1	6	0	0.161	0.449	0.788	0.228	0.630	0.334	1.000
3552	GAS2L3	growth arrest-specific 2 like 3	1143760	13	12	13	3	2	1	5	2	3	0	0.623	0.569	0.948	0.0594	0.163	0.334	1.000
3553	HSH2D	hematopoietic SH2 domain containing	411403	6	5	6	0	0	2	2	2	0	0	0.293	0.196	0.208	0.668	0.347	0.334	1.000
3554	C14orf37	chromosome 14 open reading frame 37	1276667	8	7	8	4	0	6	2	0	0	0	1.000	0.920	0.229	0.125	0.102	0.334	1.000
3555	NMBR	neuromedin B receptor	644540	8	7	8	2	1	1	3	2	1	0	0.392	0.508	0.173	0.786	0.260	0.335	1.000
3556	TADA1	transcriptional adaptor 1	563232	3	3	3	0	1	2	0	0	0	0	0.849	0.411	0.0973	0.300	0.120	0.335	1.000
3557	THUMPD1	THUMP domain containing 1	465629	3	3	3	2	1	1	0	1	0	0	0.883	0.912	0.0937	0.785	0.116	0.335	1.000
3558	TNFSF11	tumor necrosis factor (ligand) superfamily, member 11	453554	5	4	5	0	1	1	1	0	2	0	0.352	0.231	0.623	0.0816	0.290	0.335	1.000
3559	SDPR	serum deprivation response (phosphatidylserine binding protein)	699433	9	9	9	4	2	4	1	0	2	0	0.929	0.680	0.0603	0.453	0.110	0.335	1.000
3560	POLR3E	polymerase (RNA) III (DNA directed) polypeptide E (80kD)	1114132	6	5	6	4	2	1	1	1	0	1	1.000	0.867	0.110	0.193	0.102	0.335	1.000
3561	C7orf57	chromosome 7 open reading frame 57	430867	6	5	6	0	1	0	2	0	3	0	0.235	0.337	0.660	0.200	0.434	0.335	1.000
3562	PRRC1	proline-rich coiled-coil 1	745825	5	5	5	1	1	1	3	0	0	0	0.593	0.542	0.103	0.730	0.172	0.335	1.000
3563	CYP17A1	cytochrome P450, family 17, subfamily A, polypeptide 1	735507	6	6	6	1	0	3	1	1	1	0	0.498	0.406	0.0813	0.932	0.205	0.335	1.000
3564	ZBTB45	zinc finger and BTB domain containing 45	731476	6	6	6	1	1	5	0	0	0	0	0.761	0.376	0.0964	0.558	0.135	0.336	1.000
3565	GATS	GATS, stromal antigen 3 opposite strand	269984	3	3	3	0	0	1	0	2	0	0	0.273	0.454	0.346	0.503	0.375	0.336	1.000
3566	RPL6	ribosomal protein L6	481256	4	4	3	0	1	0	1	2	0	0	0.351	0.345	0.178	0.905	0.291	0.336	1.000
3567	LY96	lymphocyte antigen 96	269967	3	3	3	0	0	2	0	0	1	0	0.295	0.460	0.417	0.233	0.347	0.336	1.000
3568	COCH	coagulation factor C homolog, cochlin (Limulus polyphemus)	905681	6	6	6	4	0	1	1	1	3	0	0.934	0.929	0.0486	0.435	0.110	0.336	1.000
3569	IGFL1	IGF-like family member 1	181313	3	3	3	1	0	2	1	0	0	0	0.232	0.701	0.266	0.585	0.442	0.336	1.000
3570	SPRY2	sprouty homolog 2 (Drosophila)	517727	5	4	5	0	0	3	1	0	1	0	0.615	0.332	0.504	0.0504	0.167	0.336	1.000
3571	C22orf15	chromosome 22 open reading frame 15	102698	1	1	1	0	0	0	1	0	0	0	0.336	0.835	NaN	NaN	NaN	0.336	1.000
3572	ZC3H13	zinc finger CCCH-type containing 13	2526329	27	25	27	6	2	9	6	5	5	0	1.000	0.572	0.0731	0.299	0.102	0.336	1.000
3573	MTMR4	myotubularin related protein 4	1992394	9	9	9	2	0	3	4	1	1	0	0.993	0.537	0.0558	0.900	0.103	0.336	1.000
3574	CRYBB2	crystallin, beta B2	342292	4	4	4	1	1	2	1	0	0	0	0.271	0.582	0.225	0.639	0.378	0.336	1.000
3575	SLC44A1	solute carrier family 44, member 1	1044217	9	9	9	2	1	6	0	0	2	0	0.642	0.459	0.166	0.135	0.160	0.336	1.000
3576	SCARA3	scavenger receptor class A, member 3	865642	5	5	5	1	0	0	2	1	2	0	0.859	0.588	0.525	0.0423	0.119	0.336	1.000
3577	CLSTN2	calsyntenin 2	1510984	29	24	29	11	2	16	5	0	6	0	1.000	0.645	0.898	0.0243	0.103	0.336	1.000
3578	ZNF136	zinc finger protein 136	887318	6	4	6	0	1	3	1	0	1	0	0.882	0.321	0.526	0.0411	0.116	0.336	1.000
3579	ARHGAP15	Rho GTPase activating protein 15	803193	15	15	15	5	1	2	4	2	6	0	0.581	0.801	0.0884	0.495	0.177	0.337	1.000
3580	ZNF8	zinc finger protein 8	911259	8	8	8	1	1	4	1	2	0	0	0.451	0.303	0.138	0.367	0.228	0.337	1.000
3581	LYRM7	Lyrm7 homolog (mouse)	96327	2	2	2	0	0	0	0	1	1	0	0.119	0.723	0.928	0.157	0.862	0.337	1.000
3582	FCHO1	FCH domain only 1	1291290	9	9	9	2	0	6	0	0	3	0	0.959	0.351	0.515	0.0246	0.107	0.337	1.000
3583	ZNF706	zinc finger protein 706	130220	3	2	3	0	0	0	1	1	1	0	0.226	0.540	0.336	0.588	0.457	0.337	1.000
3584	NKX3-1	NK3 homeobox 1	280396	3	3	3	1	0	1	0	1	1	0	0.284	0.739	0.287	0.393	0.363	0.337	1.000
3585	ACSL6	acyl-CoA synthetase long-chain family member 6	1237314	15	14	15	4	2	5	2	3	3	0	0.721	0.507	0.135	0.152	0.143	0.338	1.000
3586	CLCN7	chloride channel 7	815797	10	9	10	2	2	5	2	1	0	0	0.651	0.248	0.191	0.0736	0.159	0.338	1.000
3587	DENND4A	DENN/MADD domain containing 4A	2446671	8	7	8	2	1	3	1	2	1	0	0.999	0.603	0.0945	0.315	0.103	0.338	1.000
3588	TP53I3	tumor protein p53 inducible protein 3	553749	2	2	2	0	1	0	0	1	0	0	0.872	0.450	0.0511	0.219	0.118	0.338	1.000
3589	RD3	retinal degeneration 3	287482	5	5	5	1	3	2	0	0	0	0	0.135	0.420	0.774	0.246	0.765	0.338	1.000
3590	TSC22D1	TSC22 domain family, member 1	1741751	6	6	6	0	0	1	4	0	1	0	0.993	0.277	0.0442	0.911	0.104	0.338	1.000
3591	CLTCL1	clathrin, heavy chain-like 1	2272064	19	16	19	3	4	11	3	0	1	0	0.987	0.124	0.0776	0.238	0.105	0.338	1.000
3592	DPP8	dipeptidyl-peptidase 8	1507484	7	7	7	1	0	4	1	2	0	0	0.917	0.478	0.321	0.0412	0.113	0.338	1.000
3593	DPY19L4	dpy-19-like 4 (C. elegans)	1205891	9	9	9	1	1	3	1	1	3	0	0.522	0.321	0.885	0.0361	0.198	0.338	1.000
3594	DHRS2	dehydrogenase/reductase (SDR family) member 2	509114	6	6	6	1	0	2	1	1	2	0	0.174	0.492	0.395	0.488	0.598	0.339	1.000
3595	SLC15A2	solute carrier family 15 (H+/peptide transporter), member 2	1240569	9	9	9	2	0	0	4	0	5	0	0.825	0.817	0.0663	0.931	0.126	0.339	1.000
3596	RGS3	regulator of G-protein signaling 3	2151200	11	9	11	4	3	3	3	1	1	0	1.000	0.655	0.169	0.100	0.104	0.339	1.000
3597	SERPINA1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	692730	4	4	4	4	0	3	0	0	1	0	0.988	0.947	0.0615	0.378	0.105	0.339	1.000
3598	PIK3R3	phosphoinositide-3-kinase, regulatory subunit 3 (gamma)	775499	5	5	5	0	0	2	1	2	0	0	0.637	0.307	0.358	0.0561	0.163	0.339	1.000
3599	BSX	brain-specific homeobox	266017	5	5	5	1	2	2	0	0	1	0	0.160	0.446	0.487	0.496	0.649	0.339	1.000
3600	PPFIA3	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3	1707778	8	8	8	0	2	4	1	0	1	0	0.995	0.0775	0.0932	0.117	0.105	0.339	1.000
3601	CACNA1F	calcium channel, voltage-dependent, L type, alpha 1F subunit	2185266	30	27	30	7	6	15	3	1	5	0	0.979	0.142	0.0531	0.761	0.106	0.340	1.000
3602	ABCC12	ATP-binding cassette, sub-family C (CFTR/MRP), member 12	2277409	22	18	22	10	3	9	4	1	5	0	1.000	0.738	0.0517	0.600	0.104	0.340	1.000
3603	ANXA4	annexin A4	542057	5	5	5	0	0	2	2	0	1	0	0.337	0.262	0.985	0.0661	0.309	0.340	1.000
3604	AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	1436980	10	10	10	6	2	2	3	1	2	0	1.000	0.906	0.107	0.134	0.104	0.340	1.000
3605	MFSD1	major facilitator superfamily domain containing 1	793350	8	7	8	2	0	3	4	0	1	0	0.796	0.696	0.0676	0.635	0.131	0.340	1.000
3606	CLK2	CDC-like kinase 2	841833	10	9	10	1	3	2	4	1	0	0	0.314	0.281	0.165	0.963	0.333	0.340	1.000
3607	SMC1A	structural maintenance of chromosomes 1A	1889299	9	9	9	3	1	3	3	1	1	0	1.000	0.766	0.365	0.0314	0.104	0.340	1.000
3608	SKP1	S-phase kinase-associated protein 1	292583	4	4	4	1	0	1	1	1	1	0	0.152	0.778	0.576	0.460	0.686	0.340	1.000
3609	ZNF778	zinc finger protein 778	1181895	5	5	5	1	0	1	2	1	1	0	0.949	0.601	0.916	0.0247	0.110	0.340	1.000
3610	C12orf66	chromosome 12 open reading frame 66	730121	10	9	10	0	0	2	4	1	3	0	0.187	0.0979	0.433	0.511	0.560	0.340	1.000
3611	CXCL2	chemokine (C-X-C motif) ligand 2	130476	1	1	1	0	0	0	0	0	1	0	0.340	0.598	NaN	NaN	NaN	0.340	1.000
3612	TCN2	transcobalamin II; macrocytic anemia	714918	2	2	2	3	1	0	0	0	1	0	0.993	0.995	0.0192	0.406	0.105	0.341	1.000
3613	CCDC115	coiled-coil domain containing 115	297931	3	3	3	0	1	1	1	0	0	0	0.510	0.383	0.291	0.180	0.205	0.341	1.000
3614	SNX29	sorting nexin 29	623611	10	10	10	5	4	1	2	2	1	0	0.983	0.833	0.0523	0.381	0.106	0.341	1.000
3615	LIMK1	LIM domain kinase 1	911126	3	3	3	4	1	1	1	0	0	0	1.000	0.978	0.118	0.155	0.105	0.341	1.000
3616	MGAT4B	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B	808069	7	5	7	0	1	2	3	1	0	0	0.851	0.144	0.0867	0.390	0.123	0.341	1.000
3617	TAF5L	TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa	976621	9	8	9	3	0	5	2	1	1	0	0.951	0.613	0.389	0.0327	0.110	0.341	1.000
3618	NEDD4	neural precursor cell expressed, developmentally down-regulated 4	2105579	15	14	15	1	0	10	0	4	1	0	0.767	0.146	0.0988	0.158	0.137	0.342	1.000
3619	RBM43	RNA binding motif protein 43	591193	6	6	6	0	0	2	2	1	1	0	0.267	0.336	0.237	0.302	0.393	0.342	1.000
3620	GLT8D1	glycosyltransferase 8 domain containing 1	627070	3	3	3	0	1	0	0	0	2	0	0.699	0.750	0.0918	0.639	0.150	0.342	1.000
3621	INF2	inverted formin, FH2 and WH2 domain containing	1173707	4	4	4	2	0	1	0	1	2	0	0.999	0.955	0.151	0.119	0.105	0.342	1.000
3622	BTBD10	BTB (POZ) domain containing 10	795196	7	7	6	1	1	3	1	2	0	0	0.330	0.475	0.153	0.444	0.319	0.342	1.000
3623	EDARADD	EDAR-associated death domain	367531	7	7	7	5	0	4	1	0	1	1	0.590	0.954	0.0858	0.616	0.178	0.342	1.000
3624	FLCN	folliculin	1006183	10	10	10	0	1	2	2	0	5	0	0.250	0.0552	0.824	0.129	0.422	0.342	1.000
3625	CYTIP	cytohesin 1 interacting protein	594555	8	8	6	1	0	6	2	0	0	0	0.170	0.354	0.370	0.547	0.618	0.342	1.000
3626	NUMA1	nuclear mitotic apparatus protein 1	3492552	16	16	16	2	2	1	6	2	5	0	0.999	0.369	0.174	0.0665	0.105	0.342	1.000
3627	PNPLA5	patatin-like phospholipase domain containing 5	533369	6	6	6	1	2	3	1	0	0	0	0.330	0.296	0.175	0.522	0.319	0.342	1.000
3628	ECM1	extracellular matrix protein 1	906018	4	4	4	5	0	2	0	0	2	0	0.994	0.996	0.277	0.0424	0.106	0.342	1.000
3629	ATP9B	ATPase, class II, type 9B	1851131	8	8	8	3	1	3	0	1	2	1	1.000	0.752	0.0624	0.788	0.105	0.343	1.000
3630	RNF212	ring finger protein 212	487560	5	5	5	0	0	3	2	0	0	0	0.410	0.416	0.113	0.561	0.257	0.343	1.000
3631	CNPY1	canopy 1 homolog (zebrafish)	157003	3	3	3	1	0	2	0	0	1	0	0.105	0.845	0.762	0.849	1.000	0.343	1.000
3632	ULBP2	UL16 binding protein 2	353132	3	3	3	0	0	3	0	0	0	0	0.477	0.405	0.238	0.190	0.221	0.343	1.000
3633	ZNF534	zinc finger protein 534	781298	11	11	11	2	0	3	2	3	3	0	0.167	0.534	0.642	0.274	0.632	0.343	1.000
3634	TMEM45A	transmembrane protein 45A	460270	2	2	2	0	1	0	0	0	1	0	0.721	0.486	0.494	0.0640	0.146	0.343	1.000
3635	CKMT2	creatine kinase, mitochondrial 2 (sarcomeric)	704293	2	2	2	1	0	0	0	1	1	0	0.952	0.934	0.0602	0.111	0.111	0.343	1.000
3636	IPO5	importin 5	1829141	5	5	5	3	1	0	4	0	0	0	1.000	0.965	0.0885	0.171	0.106	0.343	1.000
3637	FOXN2	forkhead box N2	713961	6	6	6	1	1	1	2	1	1	0	0.340	0.483	0.624	0.139	0.311	0.343	1.000
3638	PCSK2	proprotein convertase subtilisin/kexin type 2	1052042	14	13	14	4	1	8	2	2	1	0	0.894	0.490	0.0798	0.319	0.118	0.343	1.000
3639	FXYD7	FXYD domain containing ion transport regulator 7	126397	1	1	1	0	0	0	0	1	0	0	0.344	0.800	NaN	NaN	NaN	0.344	1.000
3640	GNG8	guanine nucleotide binding protein (G protein), gamma 8	102408	1	1	1	0	0	0	0	1	0	0	0.344	0.886	NaN	NaN	NaN	0.344	1.000
3641	RALY	RNA binding protein, autoantigenic (hnRNP-associated with lethal yellow homolog (mouse))	494957	3	2	3	0	1	1	1	0	0	0	0.879	0.392	0.441	0.0504	0.121	0.344	1.000
3642	ALDH1L1	aldehyde dehydrogenase 1 family, member L1	1398732	14	13	14	6	3	4	1	0	6	0	0.968	0.688	0.375	0.0252	0.110	0.344	1.000
3643	PGBD5	piggyBac transposable element derived 5	725534	8	8	8	4	1	2	2	1	2	0	0.979	0.781	0.0617	0.922	0.108	0.344	1.000
3644	NOVA2	neuro-oncological ventral antigen 2	487904	6	6	6	1	3	2	1	0	0	0	0.348	0.191	0.178	0.608	0.305	0.344	1.000
3645	TRPV3	transient receptor potential cation channel, subfamily V, member 3	1213316	13	13	13	5	3	6	2	0	2	0	1.000	0.467	0.852	0.0228	0.106	0.344	1.000
3646	RIOK2	RIO kinase 2 (yeast)	935984	7	6	7	1	0	3	2	1	1	0	0.467	0.548	0.148	0.602	0.227	0.344	1.000
3647	DNASE2	deoxyribonuclease II, lysosomal	546839	5	5	5	0	2	2	1	0	0	0	0.357	0.160	0.223	0.403	0.297	0.344	1.000
3648	MAVS	mitochondrial antiviral signaling protein	883255	8	7	8	1	0	3	2	1	2	0	0.620	0.315	0.784	0.0368	0.171	0.344	1.000
3649	ZBTB6	zinc finger and BTB domain containing 6	695941	4	3	4	0	0	1	2	1	0	0	0.824	0.439	0.415	0.0511	0.129	0.344	1.000
3650	LARP1B	La ribonucleoprotein domain family, member 1B	1552776	7	7	7	0	0	4	1	2	0	0	0.908	0.216	0.0785	0.400	0.117	0.344	1.000
3651	NTSR2	neurotensin receptor 2	402287	6	6	6	2	2	1	2	1	0	0	0.519	0.648	0.512	0.0717	0.205	0.345	1.000
3652	HIST1H4F	histone cluster 1, H4f	171492	2	2	2	1	0	1	0	0	1	0	0.410	0.842	0.0958	0.668	0.259	0.345	1.000
3653	VWA3B	von Willebrand factor A domain containing 3B	2117867	25	25	25	3	4	10	3	5	3	0	0.138	0.0560	0.531	0.972	0.774	0.345	1.000
3654	ZC3HAV1L	zinc finger CCCH-type, antiviral 1-like	301788	2	2	2	0	0	1	1	0	0	0	0.681	0.625	0.0272	0.367	0.156	0.345	1.000
3655	COQ7	coenzyme Q7 homolog, ubiquinone (yeast)	357988	5	5	5	1	1	0	0	0	4	0	0.190	0.663	0.437	0.486	0.561	0.345	1.000
3656	NKD2	naked cuticle homolog 2 (Drosophila)	386459	8	8	7	4	1	4	0	1	2	0	0.729	0.838	0.637	0.0559	0.146	0.345	1.000
3657	ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	641122	11	10	11	3	2	5	2	0	2	0	0.551	0.574	0.140	0.243	0.194	0.345	1.000
3658	GPR119	G protein-coupled receptor 119	551526	6	6	6	1	1	4	1	0	0	0	0.244	0.291	0.446	0.149	0.437	0.346	1.000
3659	SLC22A23	solute carrier family 22, member 23	703337	7	6	7	0	1	2	2	2	0	0	0.610	0.129	0.199	0.171	0.175	0.346	1.000
3660	FBXL17	F-box and leucine-rich repeat protein 17	553407	7	7	7	0	0	3	0	2	2	0	0.107	0.119	0.988	0.742	1.000	0.346	1.000
3661	PTTG1IP	pituitary tumor-transforming 1 interacting protein	243957	3	2	3	0	0	2	1	0	0	0	0.641	0.459	0.620	0.0906	0.167	0.346	1.000
3662	PNRC1	proline-rich nuclear receptor coactivator 1	377253	3	3	3	1	0	2	1	0	0	0	0.648	0.778	0.0407	0.721	0.165	0.346	1.000
3663	ZNF69	zinc finger protein 69	252821	3	2	3	0	0	2	1	0	0	0	0.567	0.539	0.0988	0.413	0.189	0.346	1.000
3664	SMAD2	SMAD family member 2	781596	7	7	7	2	1	2	1	1	2	0	0.604	0.678	0.149	0.239	0.177	0.346	1.000
3665	SNX12	sorting nexin 12	219162	3	3	3	0	1	2	0	0	0	0	0.301	0.328	0.936	0.0425	0.356	0.346	1.000
3666	CCL17	chemokine (C-C motif) ligand 17	149009	3	3	3	0	1	2	0	0	0	0	0.131	0.282	0.768	0.450	0.815	0.346	1.000
3667	PCNP	PEST proteolytic signal containing nuclear protein	261113	2	2	2	1	1	1	0	0	0	0	0.363	0.847	0.703	0.196	0.295	0.346	1.000
3668	EXOSC2	exosome component 2	497799	2	2	2	0	0	1	0	0	1	0	0.893	0.618	0.360	0.0727	0.120	0.346	1.000
3669	IFT88	intraflagellar transport 88 homolog (Chlamydomonas)	1329177	9	9	9	0	0	4	4	1	0	0	0.505	0.198	0.392	0.0929	0.212	0.346	1.000
3670	MBD6	methyl-CpG binding domain protein 6	1633116	4	4	4	1	0	2	2	0	0	0	1.000	0.636	0.0522	0.857	0.107	0.347	1.000
3671	ZHX2	zinc fingers and homeoboxes 2	1366956	7	7	7	2	2	2	1	1	1	0	0.989	0.522	0.0740	0.152	0.108	0.347	1.000
3672	CAPN1	calpain 1, (mu/I) large subunit	894709	2	2	2	2	0	2	0	0	0	0	1.000	0.880	0.665	0.0779	0.107	0.347	1.000
